pheno	pheno_code	idp
weekly_alcohol	ukb-b-5779	IDP-25106
weekly_alcohol	ukb-b-5779	IDP-25298
weekly_alcohol	ukb-b-5779	IDP-25458
parent_depression	ukb-b-12064	IDP-25238
handedness	ukb-a-36	IDP-25247
daily_cigarettes	ieu-b-25	IDP-25314
daily_cigarettes	ieu-b-25	IDP-25507
daily_cigarettes	ieu-b-25	IDP-25669
daily_cigarettes	ieu-b-25	PC-6
height	ukb-b-10787	IDP-25058
height	ukb-b-10787	IDP-25059
height	ukb-b-10787	IDP-25060
height	ukb-b-10787	IDP-25064
height	ukb-b-10787	IDP-25065
height	ukb-b-10787	IDP-25066
height	ukb-b-10787	IDP-25070
height	ukb-b-10787	IDP-25074
height	ukb-b-10787	IDP-25075
height	ukb-b-10787	IDP-25076
height	ukb-b-10787	IDP-25077
height	ukb-b-10787	IDP-25082
height	ukb-b-10787	IDP-25083
height	ukb-b-10787	IDP-25086
height	ukb-b-10787	IDP-25088
height	ukb-b-10787	IDP-25089
height	ukb-b-10787	IDP-25096
height	ukb-b-10787	IDP-25097
height	ukb-b-10787	IDP-25099
height	ukb-b-10787	IDP-25102
height	ukb-b-10787	IDP-25103
height	ukb-b-10787	IDP-25104
height	ukb-b-10787	IDP-25105
height	ukb-b-10787	IDP-25109
height	ukb-b-10787	IDP-25113
height	ukb-b-10787	IDP-25114
height	ukb-b-10787	IDP-25115
height	ukb-b-10787	IDP-25116
height	ukb-b-10787	IDP-25117
height	ukb-b-10787	IDP-25120
height	ukb-b-10787	IDP-25126
height	ukb-b-10787	IDP-25136
height	ukb-b-10787	IDP-25139
height	ukb-b-10787	IDP-25140
height	ukb-b-10787	IDP-25141
height	ukb-b-10787	IDP-25145
height	ukb-b-10787	IDP-25147
height	ukb-b-10787	IDP-25150
height	ukb-b-10787	IDP-25151
height	ukb-b-10787	IDP-25152
height	ukb-b-10787	IDP-25154
height	ukb-b-10787	IDP-25162
height	ukb-b-10787	IDP-25163
height	ukb-b-10787	IDP-25166
height	ukb-b-10787	IDP-25169
height	ukb-b-10787	IDP-25170
height	ukb-b-10787	IDP-25174
height	ukb-b-10787	IDP-25175
height	ukb-b-10787	IDP-25180
height	ukb-b-10787	IDP-25181
height	ukb-b-10787	IDP-25184
height	ukb-b-10787	IDP-25185
height	ukb-b-10787	IDP-25187
height	ukb-b-10787	IDP-25192
height	ukb-b-10787	IDP-25193
height	ukb-b-10787	IDP-25194
height	ukb-b-10787	IDP-25201
height	ukb-b-10787	IDP-25205
height	ukb-b-10787	IDP-25208
height	ukb-b-10787	IDP-25212
height	ukb-b-10787	IDP-25213
height	ukb-b-10787	IDP-25216
height	ukb-b-10787	IDP-25218
height	ukb-b-10787	IDP-25219
height	ukb-b-10787	IDP-25221
height	ukb-b-10787	IDP-25222
height	ukb-b-10787	IDP-25223
height	ukb-b-10787	IDP-25227
height	ukb-b-10787	IDP-25229
height	ukb-b-10787	IDP-25236
height	ukb-b-10787	IDP-25237
height	ukb-b-10787	IDP-25248
height	ukb-b-10787	IDP-25251
height	ukb-b-10787	IDP-25252
height	ukb-b-10787	IDP-25253
height	ukb-b-10787	IDP-25256
height	ukb-b-10787	IDP-25257
height	ukb-b-10787	IDP-25258
height	ukb-b-10787	IDP-25259
height	ukb-b-10787	IDP-25260
height	ukb-b-10787	IDP-25264
height	ukb-b-10787	IDP-25265
height	ukb-b-10787	IDP-25266
height	ukb-b-10787	IDP-25267
height	ukb-b-10787	IDP-25268
height	ukb-b-10787	IDP-25269
height	ukb-b-10787	IDP-25271
height	ukb-b-10787	IDP-25274
height	ukb-b-10787	IDP-25278
height	ukb-b-10787	IDP-25280
height	ukb-b-10787	IDP-25281
height	ukb-b-10787	IDP-25283
height	ukb-b-10787	IDP-25284
height	ukb-b-10787	IDP-25288
height	ukb-b-10787	IDP-25289
height	ukb-b-10787	IDP-25291
height	ukb-b-10787	IDP-25294
height	ukb-b-10787	IDP-25295
height	ukb-b-10787	IDP-25298
height	ukb-b-10787	IDP-25299
height	ukb-b-10787	IDP-25300
height	ukb-b-10787	IDP-25301
height	ukb-b-10787	IDP-25304
height	ukb-b-10787	IDP-25305
height	ukb-b-10787	IDP-25307
height	ukb-b-10787	IDP-25308
